id;name;source_code;source_code_content_type;creation_date
1;взломать Right-sized;../fake-data/blob/hipster.png;image/png;2022-05-02T15:31:07
2;Камчатская Стул payment;../fake-data/blob/hipster.png;image/png;2022-05-03T02:24:40
3;сжатие Эргономичный;../fake-data/blob/hipster.png;image/png;2022-05-03T04:57:29
4;интеграционный Польша;../fake-data/blob/hipster.png;image/png;2022-05-03T05:54:18
5;коммуникационный голубой;../fake-data/blob/hipster.png;image/png;2022-05-02T18:36:44
6;зашифровать площадь;../fake-data/blob/hipster.png;image/png;2022-05-02T14:21:27
7;Ботинок Home;../fake-data/blob/hipster.png;image/png;2022-05-02T09:37:59
8;Глобальный;../fake-data/blob/hipster.png;image/png;2022-05-02T17:53:06
9;зеленовато-голубой область;../fake-data/blob/hipster.png;image/png;2022-05-02T17:16:11
10;Грубый;../fake-data/blob/hipster.png;image/png;2022-05-02T22:16:59
