id;title;content;picture;picture_content_type;date
1;Singapore область;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-05-02T19:57:36
2;помощник;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-05-03T01:06:12
3;world-class Майка;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-05-02T14:03:02
4;solutions;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-05-02T23:15:39
5;Loan;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-05-02T12:29:01
6;Pataca;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-05-03T03:51:14
7;Орловская проспект;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-05-02T13:14:30
8;repurpose Германия blockchains;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-05-02T12:09:44
9;интерфейс;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-05-02T13:58:20
10;резервное;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-05-02T23:35:57
