id;task_name;description;deadline
1;withdrawal Avon rich;payment matrices payment;2022-05-03
2;агент обувь;Кожанный;2022-05-03
3;Резиновый Международный канал;твердотельный округ withdrawal;2022-05-02
4;Дом Клатч вычисление;оптический площадь оптический;2022-05-02
5;определение Автомобиль Avon;планировщик integrate;2022-05-02
6;Switchable промышленное;Южно-Африканская multi-tasking;2022-05-03
7;копировать пл. Ботинок;Account;2022-05-02
8;withdrawal Бетонный Тыва;mission-critical сжатие;2022-05-03
9;Кожанный страховой;deposit руководитель;2022-05-02
10;initiatives;enhance;2022-05-02
